id,opinion,thres,topic,type
100,0.9695846277645586,-1,100000,commenter
100,0.7751328233611146,-1,100001,commenter
101,0.9394989415641891,-1,100000,commenter
101,0.8948273504276488,-1,100001,commenter
102,0.5978999788110851,-1,100000,commenter
102,0.9218742350231168,-1,100001,commenter
103,0.0884925020519195,-1,100000,commenter
103,0.1959828624191452,-1,100001,commenter
104,0.045227288910538066,-1,100000,commenter
104,0.32533033076326434,-1,100001,commenter
105,0.388677289689482,-1,100000,commenter
105,0.2713490317738959,-1,100001,commenter
106,0.8287375091519293,-1,100000,commenter
106,0.3567533266935893,-1,100001,commenter
107,0.28093450968738076,-1,100000,commenter
107,0.5426960831582485,-1,100001,commenter
108,0.14092422497476265,-1,100000,commenter
108,0.8021969807540397,-1,100001,commenter
109,0.07455064367977082,-1,100000,commenter
109,0.9868869366005173,-1,100001,commenter
10000,0.7722447692966574,[ 0.40468058],100000,voter
10000,0.1987156815341724,[ 0.40468058],100001,voter
10001,0.005522117123602399,[ 0.40468058],100000,voter
10001,0.8154614284548342,[ 0.40468058],100001,voter
10002,0.7068573438476171,[ 0.40468058],100000,voter
10002,0.7290071680409873,[ 0.40468058],100001,voter
10003,0.7712703466859457,[ 0.40468058],100000,voter
10003,0.07404465173409036,[ 0.40468058],100001,voter
10004,0.3584657285442726,[ 0.40468058],100000,voter
10004,0.11586905952512971,[ 0.40468058],100001,voter
10005,0.8631034258755935,[ 0.40468058],100000,voter
10005,0.6232981268275579,[ 0.40468058],100001,voter
10006,0.3308980248526492,[ 0.40468058],100000,voter
10006,0.06355835028602363,[ 0.40468058],100001,voter
10007,0.3109823217156622,[ 0.40468058],100000,voter
10007,0.32518332202674705,[ 0.40468058],100001,voter
10008,0.7296061783380641,[ 0.40468058],100000,voter
10008,0.6375574713552131,[ 0.40468058],100001,voter
10009,0.8872127425763265,[ 0.40468058],100000,voter
10009,0.4722149251619493,[ 0.40468058],100001,voter
10010,0.1195942459383017,[ 0.40468058],100000,voter
10010,0.713244787222995,[ 0.40468058],100001,voter
10011,0.7607850486168974,[ 0.40468058],100000,voter
10011,0.5612771975694962,[ 0.40468058],100001,voter
10012,0.770967179954561,[ 0.40468058],100000,voter
10012,0.49379559636439074,[ 0.40468058],100001,voter
10013,0.5227328293819941,[ 0.40468058],100000,voter
10013,0.42754101835854963,[ 0.40468058],100001,voter
10014,0.02541912674409519,[ 0.40468058],100000,voter
10014,0.10789142699330445,[ 0.40468058],100001,voter
10015,0.03142918568673425,[ 0.40468058],100000,voter
10015,0.6364104112637804,[ 0.40468058],100001,voter
10016,0.3143559810763267,[ 0.40468058],100000,voter
10016,0.5085706911647028,[ 0.40468058],100001,voter
10017,0.907566473926093,[ 0.40468058],100000,voter
10017,0.24929222914887494,[ 0.40468058],100001,voter
10018,0.41038292303562973,[ 0.40468058],100000,voter
10018,0.7555511385430487,[ 0.40468058],100001,voter
10019,0.22879816549162246,[ 0.40468058],100000,voter
10019,0.07697990982879299,[ 0.40468058],100001,voter
10020,0.289751452913768,[ 0.40468058],100000,voter
10020,0.16122128725400442,[ 0.40468058],100001,voter
10021,0.9296976523425731,[ 0.40468058],100000,voter
10021,0.808120379564417,[ 0.40468058],100001,voter
10022,0.6334037565104235,[ 0.40468058],100000,voter
10022,0.8714605901877177,[ 0.40468058],100001,voter
10023,0.8036720768991145,[ 0.40468058],100000,voter
10023,0.18657005888603584,[ 0.40468058],100001,voter
10024,0.8925589984899778,[ 0.40468058],100000,voter
10024,0.5393422419156507,[ 0.40468058],100001,voter
10025,0.8074401551640625,[ 0.40468058],100000,voter
10025,0.8960912999234932,[ 0.40468058],100001,voter
10026,0.3180034749718639,[ 0.40468058],100000,voter
10026,0.11005192452767676,[ 0.40468058],100001,voter
10027,0.22793516254194168,[ 0.40468058],100000,voter
10027,0.4271077886262563,[ 0.40468058],100001,voter
10028,0.8180147659224931,[ 0.40468058],100000,voter
10028,0.8607305832563434,[ 0.40468058],100001,voter
10029,0.006952130531190703,[ 0.40468058],100000,voter
10029,0.5107473025775657,[ 0.40468058],100001,voter
10030,0.417411003148779,[ 0.40468058],100000,voter
10030,0.22210781047073025,[ 0.40468058],100001,voter
10031,0.1198653673336828,[ 0.40468058],100000,voter
10031,0.33761517140362796,[ 0.40468058],100001,voter
10032,0.9429097039125192,[ 0.40468058],100000,voter
10032,0.32320293202075523,[ 0.40468058],100001,voter
10033,0.5187906217433661,[ 0.40468058],100000,voter
10033,0.7030189588951778,[ 0.40468058],100001,voter
10034,0.363629602379294,[ 0.40468058],100000,voter
10034,0.9717820827209607,[ 0.40468058],100001,voter
10035,0.9624472949421112,[ 0.40468058],100000,voter
10035,0.25178229582536416,[ 0.40468058],100001,voter
10036,0.49724850589238545,[ 0.40468058],100000,voter
10036,0.30087830981676966,[ 0.40468058],100001,voter
10037,0.2848404943774676,[ 0.40468058],100000,voter
10037,0.036886947354532795,[ 0.40468058],100001,voter
10038,0.6095643339798968,[ 0.40468058],100000,voter
10038,0.5026790232288615,[ 0.40468058],100001,voter
10039,0.05147875124998935,[ 0.40468058],100000,voter
10039,0.27864646423661144,[ 0.40468058],100001,voter
10040,0.9082658859666537,[ 0.40468058],100000,voter
10040,0.23956189066697242,[ 0.40468058],100001,voter
10041,0.1448948720912231,[ 0.40468058],100000,voter
10041,0.489452760277563,[ 0.40468058],100001,voter
10042,0.9856504541106007,[ 0.40468058],100000,voter
10042,0.2420552715115004,[ 0.40468058],100001,voter
10043,0.6721355474058786,[ 0.40468058],100000,voter
10043,0.7616196153287176,[ 0.40468058],100001,voter
10044,0.23763754399239967,[ 0.40468058],100000,voter
10044,0.7282163486118596,[ 0.40468058],100001,voter
10045,0.3677831327192532,[ 0.40468058],100000,voter
10045,0.6323058305935795,[ 0.40468058],100001,voter
10046,0.6335297107608947,[ 0.40468058],100000,voter
10046,0.5357746840747585,[ 0.40468058],100001,voter
10047,0.0902897700544083,[ 0.40468058],100000,voter
10047,0.835302495589238,[ 0.40468058],100001,voter
10048,0.32078006497173583,[ 0.40468058],100000,voter
10048,0.18651851039985423,[ 0.40468058],100001,voter
10049,0.040775141554763916,[ 0.40468058],100000,voter
10049,0.5908929431882418,[ 0.40468058],100001,voter
10050,0.6775643618422824,[ 0.40468058],100000,voter
10050,0.016587828927856152,[ 0.40468058],100001,voter
10051,0.512093058299281,[ 0.40468058],100000,voter
10051,0.22649577519793795,[ 0.40468058],100001,voter
10052,0.6451727904094499,[ 0.40468058],100000,voter
10052,0.17436642900499144,[ 0.40468058],100001,voter
10053,0.690937738102466,[ 0.40468058],100000,voter
10053,0.3867353463005374,[ 0.40468058],100001,voter
10054,0.9367299887367345,[ 0.40468058],100000,voter
10054,0.13752094414599325,[ 0.40468058],100001,voter
10055,0.3410663510502585,[ 0.40468058],100000,voter
10055,0.11347352124058907,[ 0.40468058],100001,voter
10056,0.9246936182785628,[ 0.40468058],100000,voter
10056,0.877339353380981,[ 0.40468058],100001,voter
10057,0.2579416277151556,[ 0.40468058],100000,voter
10057,0.659984046034179,[ 0.40468058],100001,voter
10058,0.8172222002012158,[ 0.40468058],100000,voter
10058,0.5552008115994623,[ 0.40468058],100001,voter
10059,0.5296505783560065,[ 0.40468058],100000,voter
10059,0.24185229090045168,[ 0.40468058],100001,voter
10060,0.09310276780589921,[ 0.40468058],100000,voter
10060,0.8972157579533268,[ 0.40468058],100001,voter
10061,0.9004180571633305,[ 0.40468058],100000,voter
10061,0.6331014572732679,[ 0.40468058],100001,voter
10062,0.3390297910487007,[ 0.40468058],100000,voter
10062,0.3492095746126609,[ 0.40468058],100001,voter
10063,0.7259556788702394,[ 0.40468058],100000,voter
10063,0.8971102599525771,[ 0.40468058],100001,voter
10064,0.8870864242651173,[ 0.40468058],100000,voter
10064,0.7798755458576239,[ 0.40468058],100001,voter
10065,0.6420316461542878,[ 0.40468058],100000,voter
10065,0.08413996499504883,[ 0.40468058],100001,voter
10066,0.16162871409461377,[ 0.40468058],100000,voter
10066,0.8985541885270792,[ 0.40468058],100001,voter
10067,0.6064290596595899,[ 0.40468058],100000,voter
10067,0.009197051616629648,[ 0.40468058],100001,voter
10068,0.1014715428660321,[ 0.40468058],100000,voter
10068,0.6635017691080558,[ 0.40468058],100001,voter
10069,0.005061583846218687,[ 0.40468058],100000,voter
10069,0.16080805141749865,[ 0.40468058],100001,voter
10070,0.5487337893665861,[ 0.40468058],100000,voter
10070,0.6918951976926933,[ 0.40468058],100001,voter
10071,0.6519612595026005,[ 0.40468058],100000,voter
10071,0.22426930946055978,[ 0.40468058],100001,voter
10072,0.7121792213475359,[ 0.40468058],100000,voter
10072,0.23724908749680007,[ 0.40468058],100001,voter
10073,0.3253996981592677,[ 0.40468058],100000,voter
10073,0.7464914051180241,[ 0.40468058],100001,voter
10074,0.6496328990472147,[ 0.40468058],100000,voter
10074,0.8492234104941779,[ 0.40468058],100001,voter
10075,0.6576128923003434,[ 0.40468058],100000,voter
10075,0.5683086033354716,[ 0.40468058],100001,voter
10076,0.09367476782809248,[ 0.40468058],100000,voter
10076,0.3677158030594335,[ 0.40468058],100001,voter
10077,0.26520236768172545,[ 0.40468058],100000,voter
10077,0.24398964337908358,[ 0.40468058],100001,voter
